"菌ㄓ籓参璸
Visitor  Arrivals, 1956-2015",,,,,,,,,,,
 Year,羆璸 Total,,,膟 Foreigners,,,地勾 Overseas Chinese,,,,
,"计
No. of
Visitors","Θ瞯
Growth
Rate %","计
Index 
1991=100","计
No. of
Visitors","Θ瞯
Growth
Rate %","羆璸
κだゑ
% of Total","计
No. of
Visitors","Θ瞯
Growth
Rate %","羆璸
κだゑ
%
of Total",,
92  2003,"2,248,117 ",-24.50 ,121.22 ,"1,812,034 ",-23.02 ,80.60 ,"436,083 ",-30.08 ,19.40 ,,
93  2004,"2,950,342 ",31.24 ,159.09 ,"2,428,297 ",34.01 ,82.31 ,"522,045 ",19.71 ,17.69 ,,
94  2005,"3,378,118 ",14.50 ,182.16 ,"2,798,210 ",15.23 ,82.83 ,"579,908 ",11.08 ,17.17 ,,
95  2006,"3,519,827 ",4.19 ,189.80 ,"2,855,629 ",2.05 ,81.13 ,"664,198 ",14.54 ,18.87 ,,
96  2007,"3,716,063 ",5.58 ,200.38 ,"2,988,815 ",4.66 ,80.43 ,"727,248 ",9.49 ,19.57 ,,
97  2008,"3,845,187 ",3.47 ,207.34 ,"2,962,536 ",-0.88 ,77.05 ,"882,651 ",21.37 ,22.95 ,,
98  2009,"4,395,004 ",14.30 ,236.99 ,"2,770,082 ",-6.50 ,63.03 ,"1,624,922 ",84.10 ,36.97 ,,
99  2010,"5,567,277 ",26.67 ,300.20 ,"3,235,477 ",16.80 ,58.12 ,"2,331,800 ",43.50 ,41.88 ,,
100  2011,"6,087,484 ",9.34 ,328.25 ,"3,588,727 ",10.92 ,58.95 ,"2,498,757 ",7.16 ,41.05 ,,
101  2012,"7,311,470 ",20.11 ,394.25 ,"3,831,635 ",6.77 ,52.41 ,"3,479,835 ",39.26 ,47.59 ,,
102  2013,"8,016,280 ",9.64 ,432.26 ,"4,095,599 ",6.89 ,51.09 ,"3,920,681 ",12.67 ,48.91 ,,
103  2014,"9,910,204 ",23.63 ,534.39 ,"4,687,048 ",14.44 ,47.30 ,"5,223,156 ",33.22 ,52.70 ,,
104  2015,"10,439,785 ",5.34 ,562.94 ,"4,883,047 ",4.18 ,46.77 ,"5,556,738 ",6.39 ,53.23 ,,
,,,,,,,,,,,
